word	rank	freq_per_million	POS
high	106	9433.96	NN
place	107	9345.79	NN
hold	108	9259.26	NN
world	109	9174.31	NN
found	110	9090.91	NN
still	111	9009.01	NN
every	112	8928.57	NN
try	113	8849.56	NN
ask	114	8771.93	NN
later	115	8695.65	NN
point	116	8620.69	NN
city	117	8547.01	NN
play	118	8474.58	NN
small	119	8403.36	NN
number	120	8333.33	NN
off	121	8264.46	NN
always	122	8196.72	NN
move	123	8130.08	NN
night	124	8064.52	NN
live	125	8000.0	NN
Mr	126	7936.51	NN
show	127	7874.02	NN
door	128	7812.5	NN
water	129	7751.94	NN
keep	130	7692.31	NN
long	131	7633.59	NN
feel	132	7575.76	NN
put	133	7518.8	NN
bring	134	7462.69	NN
example	135	7407.41	NN
order	136	7352.94	NN
next	137	7299.27	NN
program	138	7246.38	NN
change	139	7194.24	NN
again	140	7142.86	NN
below	141	7092.2	NN
left	142	7042.25	NN
under	143	6993.01	NN
must	144	6944.44	NN
such	145	6896.55	NN
turn	146	6849.32	NN
here	147	6802.72	NN
why	148	6756.76	NN
went	149	6711.41	NN
men	150	6666.67	NN
read	151	6622.52	NN
need	152	6578.95	NN
land	153	6535.95	NN
different	154	6493.51	NN
home	155	6451.61	NN
move	156	6410.26	NN
boy	157	6369.43	NN
old	158	6329.11	NN
same	159	6289.31	NN
she	160	6250.0	NN
sound	161	6211.18	NN
tell	162	6172.84	NN
house	163	6134.97	NN
open	164	6097.56	NN
seem	165	6060.61	NN
together	166	6024.1	NN
next	167	5988.02	NN
white	168	5952.38	NN
children	169	5917.16	NN
begin	170	5882.35	NN
got	171	5847.95	NN
walk	172	5813.95	NN
example	173	5780.35	NN
paper	174	5747.13	NN
group	175	5714.29	NN
always	176	5681.82	NN
music	177	5649.72	NN
those	178	5617.98	NN
both	179	5586.59	NN
mark	180	5555.56	NN
book	181	5524.86	NN
letter	182	5494.51	NN
until	183	5464.48	NN
mile	184	5434.78	NN
river	185	5405.41	NN
car	186	5376.34	NN
feet	187	5347.59	NN
care	188	5319.15	NN
second	189	5291.01	NN
enough	190	5263.16	NN
plain	191	5235.6	NN
girl	192	5208.33	NN
usual	193	5181.35	NN
young	194	5154.64	NN
ready	195	5128.21	NN
above	196	5102.04	NN
ever	197	5076.14	NN
red	198	5050.51	NN
list	199	5025.13	NN
though	200	5000.0	NN
feel	201	4975.12	NN
talk	202	4950.5	NN
bird	203	4926.11	NN
soon	204	4901.96	NN
body	205	4878.05	NN
dog	206	4854.37	NN
family	207	4830.92	NN
direct	208	4807.69	NN
pose	209	4784.69	NN
leave	210	4761.9	NN
song	211	4739.34	NN
measure	212	4716.98	NN
door	213	4694.84	NN
product	214	4672.9	NN
black	215	4651.16	NN
short	216	4629.63	NN
numeral	217	4608.29	NN
class	218	4587.16	NN
wind	219	4566.21	NN
question	220	4545.45	NN
happen	221	4524.89	NN
complete	222	4504.5	NN
ship	223	4484.3	NN
area	224	4464.29	NN
half	225	4444.44	NN
rock	226	4424.78	NN
fire	227	4405.29	NN
south	228	4385.96	NN
problem	229	4366.81	NN
piece	230	4347.83	NN
told	231	4329.0	NN
knew	232	4310.34	NN
pass	233	4291.85	NN
since	234	4273.5	NN
top	235	4255.32	NN
whole	236	4237.29	NN
king	237	4219.41	NN
street	238	4201.68	NN
inch	239	4184.1	NN
multiply	240	4166.67	NN
nothing	241	4149.38	NN
course	242	4132.23	NN
stay	243	4115.23	NN
wheel	244	4098.36	NN
full	245	4081.63	NN
force	246	4065.04	NN
blue	247	4048.58	NN
object	248	4032.26	NN
decide	249	4016.06	NN
surface	250	4000.0	NN
deep	251	3984.06	NN
moon	252	3968.25	NN
island	253	3952.57	NN
foot	254	3937.01	NN
system	255	3921.57	NN
busy	256	3906.25	NN
test	257	3891.05	NN
record	258	3875.97	NN
boat	259	3861.0	NN
common	260	3846.15	NN
gold	261	3831.42	NN
possible	262	3816.79	NN
plane	263	3802.28	NN
stead	264	3787.88	NN
dry	265	3773.58	NN
wonder	266	3759.4	NN
laugh	267	3745.32	NN
thousand	268	3731.34	NN
ago	269	3717.47	NN
ran	270	3703.7	NN
check	271	3690.04	NN
game	272	3676.47	NN
shape	273	3663.0	NN
equate	274	3649.64	NN
hot	275	3636.36	NN
miss	276	3623.19	NN
brought	277	3610.11	NN
heat	278	3597.12	NN
snow	279	3584.23	NN
tire	280	3571.43	NN
bring	281	3558.72	NN
yes	282	3546.1	NN
distant	283	3533.57	NN
fill	284	3521.13	NN
east	285	3508.77	NN
paint	286	3496.5	NN
language	287	3484.32	NN
among	288	3472.22	NN
grand	289	3460.21	NN
ball	290	3448.28	NN
yet	291	3436.43	NN
wave	292	3424.66	NN
drop	293	3412.97	NN
heart	294	3401.36	NN
am	295	3389.83	NN
present	296	3378.38	NN
heavy	297	3367.0	NN
dance	298	3355.7	NN
engine	299	3344.48	NN
position	300	3333.33	NN
arm	301	3322.26	NN
wide	302	3311.26	NN
sail	303	3300.33	NN
material	304	3289.47	NN
size	305	3278.69	NN
vary	306	3267.97	NN
settle	307	3257.33	NN
speak	308	3246.75	NN
weight	309	3236.25	NN
general	310	3225.81	NN
ice	311	3215.43	NN
matter	312	3205.13	NN
circle	313	3194.89	NN
pair	314	3184.71	NN
include	315	3174.6	NN
divide	316	3164.56	NN
syllable	317	3154.57	NN
felt	318	3144.65	NN
perhaps	319	3134.8	NN
pick	320	3125.0	NN
sudden	321	3115.26	NN
count	322	3105.59	NN
square	323	3095.98	NN
reason	324	3086.42	NN
length	325	3076.92	NN
represent	326	3067.48	NN
art	327	3058.1	NN
subject	328	3048.78	NN
region	329	3039.51	NN
energy	330	3030.3	NN
hunt	331	3021.15	NN
probable	332	3012.05	NN
bed	333	3003.0	NN
brother	334	2994.01	NN
egg	335	2985.07	NN
ride	336	2976.19	NN
cell	337	2967.36	NN
believe	338	2958.58	NN
fraction	339	2949.85	NN
forest	340	2941.18	NN
sit	341	2932.55	NN
race	342	2923.98	NN
window	343	2915.45	NN
store	344	2906.98	NN
summer	345	2898.55	NN
train	346	2890.17	NN
sleep	347	2881.84	NN
prove	348	2873.56	NN
lone	349	2865.33	NN
leg	350	2857.14	NN
exercise	351	2849.0	NN
wall	352	2840.91	NN
catch	353	2832.86	NN
mount	354	2824.86	NN
wish	355	2816.9	NN
sky	356	2808.99	NN
board	357	2801.12	NN
joy	358	2793.3	NN
winter	359	2785.52	NN
sat	360	2777.78	NN
written	361	2770.08	NN
wild	362	2762.43	NN
instrument	363	2754.82	NN
kept	364	2747.25	NN
glass	365	2739.73	NN
grass	366	2732.24	NN
cow	367	2724.8	NN
job	368	2717.39	NN
edge	369	2710.03	NN
sign	370	2702.7	NN
visit	371	2695.42	NN
past	372	2688.17	NN
soft	373	2680.97	NN
fun	374	2673.8	NN
bright	375	2666.67	NN
gas	376	2659.57	NN
weather	377	2652.52	NN
month	378	2645.5	NN
million	379	2638.52	NN
bear	380	2631.58	NN
finish	381	2624.67	NN
happy	382	2617.8	NN
hope	383	2610.97	NN
flower	384	2604.17	NN
clothe	385	2597.4	NN
strange	386	2590.67	NN
gone	387	2583.98	NN
jump	388	2577.32	NN
baby	389	2570.69	NN
eight	390	2564.1	NN
village	391	2557.54	NN
meet	392	2551.02	NN
root	393	2544.53	NN
buy	394	2538.07	NN
raise	395	2531.65	NN
solve	396	2525.25	NN
metal	397	2518.89	NN
whether	398	2512.56	NN
push	399	2506.27	NN
seven	400	2500.0	NN
paragraph	401	2493.77	NN
third	402	2487.56	NN
shall	403	2481.39	NN
held	404	2475.25	NN
hair	405	2469.14	NN
describe	406	2463.05	NN
cook	407	2457.0	NN
floor	408	2450.98	NN
either	409	2444.99	NN
result	410	2439.02	NN
burn	411	2433.09	NN
hill	412	2427.18	NN
safe	413	2421.31	NN
cat	414	2415.46	NN
century	415	2409.64	NN
consider	416	2403.85	NN
type	417	2398.08	NN
law	418	2392.34	NN
bit	419	2386.63	NN
coast	420	2380.95	NN
copy	421	2375.3	NN
phrase	422	2369.67	NN
silent	423	2364.07	NN
tall	424	2358.49	NN
sand	425	2352.94	NN
soil	426	2347.42	NN
roll	427	2341.92	NN
temperature	428	2336.45	NN
finger	429	2331.0	NN
industry	430	2325.58	NN
value	431	2320.19	NN
fight	432	2314.81	NN
lie	433	2309.47	NN
beat	434	2304.15	NN
excite	435	2298.85	NN
natural	436	2293.58	NN
view	437	2288.33	NN
sense	438	2283.11	NN
ear	439	2277.9	NN
else	440	2272.73	NN
quite	441	2267.57	NN
broke	442	2262.44	NN
case	443	2257.34	NN
middle	444	2252.25	NN
kill	445	2247.19	NN
son	446	2242.15	NN
lake	447	2237.14	NN
moment	448	2232.14	NN
scale	449	2227.17	NN
loud	450	2222.22	NN
spring	451	2217.29	NN
observe	452	2212.39	NN
child	453	2207.51	NN
straight	454	2202.64	NN
consonant	455	2197.8	NN
nation	456	2192.98	NN
dictionary	457	2188.18	NN
milk	458	2183.41	NN
speed	459	2178.65	NN
method	460	2173.91	NN
organ	461	2169.2	NN
pay	462	2164.5	NN
age	463	2159.83	NN
section	464	2155.17	NN
dress	465	2150.54	NN
cloud	466	2145.92	NN
surprise	467	2141.33	NN
quiet	468	2136.75	NN
stone	469	2132.2	NN
tiny	470	2127.66	NN
climb	471	2123.14	NN
cool	472	2118.64	NN
design	473	2114.16	NN
poor	474	2109.7	NN
lot	475	2105.26	NN
experiment	476	2100.84	NN
bottom	477	2096.44	NN
key	478	2092.05	NN
iron	479	2087.68	NN
single	480	2083.33	NN
stick	481	2079.0	NN
flat	482	2074.69	NN
twenty	483	2070.39	NN
skin	484	2066.12	NN
smile	485	2061.86	NN
crease	486	2057.61	NN
hole	487	2053.39	NN
trade	488	2049.18	NN
melody	489	2044.99	NN
trip	490	2040.82	NN
office	491	2036.66	NN
receive	492	2032.52	NN
row	493	2028.4	NN
mouth	494	2024.29	NN
exact	495	2020.2	NN
symbol	496	2016.13	NN
die	497	2012.07	NN
least	498	2008.03	NN
trouble	499	2004.01	NN
shout	500	2000.0	NN
except	501	1996.01	NN
wrote	502	1992.03	NN
seed	503	1988.07	NN
tone	504	1984.13	NN
join	505	1980.2	NN
suggest	506	1976.28	NN
clean	507	1972.39	NN
break	508	1968.5	NN
lady	509	1964.64	NN
yard	510	1960.78	NN
rise	511	1956.95	NN
bad	512	1953.12	NN
blow	513	1949.32	NN
oil	514	1945.53	NN
blood	515	1941.75	NN
touch	516	1937.98	NN
grew	517	1934.24	NN
cent	518	1930.5	NN
mix	519	1926.78	NN
team	520	1923.08	NN
wire	521	1919.39	NN
cost	522	1915.71	NN
lost	523	1912.05	NN
brown	524	1908.4	NN
wear	525	1904.76	NN
garden	526	1901.14	NN
equal	527	1897.53	NN
sent	528	1893.94	NN
choose	529	1890.36	NN
fell	530	1886.79	NN
fit	531	1883.24	NN
flow	532	1879.7	NN
fair	533	1876.17	NN
bank	534	1872.66	NN
collect	535	1869.16	NN
save	536	1865.67	NN
control	537	1862.2	NN
decimal	538	1858.74	NN
gentle	539	1855.29	NN
woman	540	1851.85	NN
captain	541	1848.43	NN
practice	542	1845.02	NN
separate	543	1841.62	NN
difficult	544	1838.24	NN
doctor	545	1834.86	NN
please	546	1831.5	NN
protect	547	1828.15	NN
noon	548	1824.82	NN
word549	549	1821.49	NN
word550	550	1818.18	NN
word551	551	1814.88	NN
word552	552	1811.59	NN
word553	553	1808.32	NN
word554	554	1805.05	NN
word555	555	1801.8	NN
word556	556	1798.56	NN
word557	557	1795.33	NN
word558	558	1792.11	NN
word559	559	1788.91	NN
word560	560	1785.71	NN
word561	561	1782.53	NN
word562	562	1779.36	NN
word563	563	1776.2	NN
word564	564	1773.05	NN
word565	565	1769.91	NN
word566	566	1766.78	NN
word567	567	1763.67	NN
word568	568	1760.56	NN
word569	569	1757.47	NN
word570	570	1754.39	NN
word571	571	1751.31	NN
word572	572	1748.25	NN
word573	573	1745.2	NN
word574	574	1742.16	NN
word575	575	1739.13	NN
word576	576	1736.11	NN
word577	577	1733.1	NN
word578	578	1730.1	NN
word579	579	1727.12	NN
word580	580	1724.14	NN
word581	581	1721.17	NN
word582	582	1718.21	NN
word583	583	1715.27	NN
word584	584	1712.33	NN
word585	585	1709.4	NN
word586	586	1706.48	NN
word587	587	1703.58	NN
word588	588	1700.68	NN
word589	589	1697.79	NN
word590	590	1694.92	NN
word591	591	1692.05	NN
word592	592	1689.19	NN
word593	593	1686.34	NN
word594	594	1683.5	NN
word595	595	1680.67	NN
word596	596	1677.85	NN
word597	597	1675.04	NN
word598	598	1672.24	NN
word599	599	1669.45	NN
word600	600	1666.67	NN
word601	601	1663.89	NN
word602	602	1661.13	NN
word603	603	1658.37	NN
word604	604	1655.63	NN
word605	605	1652.89	NN
word606	606	1650.17	NN
word607	607	1647.45	NN
word608	608	1644.74	NN
word609	609	1642.04	NN
word610	610	1639.34	NN
word611	611	1636.66	NN
word612	612	1633.99	NN
word613	613	1631.32	NN
word614	614	1628.66	NN
word615	615	1626.02	NN
word616	616	1623.38	NN
word617	617	1620.75	NN
word618	618	1618.12	NN
word619	619	1615.51	NN
word620	620	1612.9	NN
word621	621	1610.31	NN
word622	622	1607.72	NN
word623	623	1605.14	NN
word624	624	1602.56	NN
word625	625	1600.0	NN
word626	626	1597.44	NN
word627	627	1594.9	NN
word628	628	1592.36	NN
word629	629	1589.83	NN
word630	630	1587.3	NN
word631	631	1584.79	NN
word632	632	1582.28	NN
word633	633	1579.78	NN
word634	634	1577.29	NN
word635	635	1574.8	NN
word636	636	1572.33	NN
word637	637	1569.86	NN
word638	638	1567.4	NN
word639	639	1564.95	NN
word640	640	1562.5	NN
word641	641	1560.06	NN
word642	642	1557.63	NN
word643	643	1555.21	NN
word644	644	1552.8	NN
word645	645	1550.39	NN
word646	646	1547.99	NN
word647	647	1545.6	NN
word648	648	1543.21	NN
word649	649	1540.83	NN
word650	650	1538.46	NN
word651	651	1536.1	NN
word652	652	1533.74	NN
word653	653	1531.39	NN
word654	654	1529.05	NN
word655	655	1526.72	NN
word656	656	1524.39	NN
word657	657	1522.07	NN
word658	658	1519.76	NN
word659	659	1517.45	NN
word660	660	1515.15	NN
word661	661	1512.86	NN
word662	662	1510.57	NN
word663	663	1508.3	NN
word664	664	1506.02	NN
word665	665	1503.76	NN
word666	666	1501.5	NN
word667	667	1499.25	NN
word668	668	1497.01	NN
word669	669	1494.77	NN
word670	670	1492.54	NN
word671	671	1490.31	NN
word672	672	1488.1	NN
word673	673	1485.88	NN
word674	674	1483.68	NN
word675	675	1481.48	NN
word676	676	1479.29	NN
word677	677	1477.1	NN
word678	678	1474.93	NN
word679	679	1472.75	NN
word680	680	1470.59	NN
word681	681	1468.43	NN
word682	682	1466.28	NN
word683	683	1464.13	NN
word684	684	1461.99	NN
word685	685	1459.85	NN
word686	686	1457.73	NN
word687	687	1455.6	NN
word688	688	1453.49	NN
word689	689	1451.38	NN
word690	690	1449.28	NN
word691	691	1447.18	NN
word692	692	1445.09	NN
word693	693	1443.0	NN
word694	694	1440.92	NN
word695	695	1438.85	NN
word696	696	1436.78	NN
word697	697	1434.72	NN
word698	698	1432.66	NN
word699	699	1430.62	NN
word700	700	1428.57	NN
word701	701	1426.53	NN
word702	702	1424.5	NN
word703	703	1422.48	NN
word704	704	1420.45	NN
word705	705	1418.44	NN
word706	706	1416.43	NN
word707	707	1414.43	NN
word708	708	1412.43	NN
word709	709	1410.44	NN
word710	710	1408.45	NN
word711	711	1406.47	NN
word712	712	1404.49	NN
word713	713	1402.52	NN
word714	714	1400.56	NN
word715	715	1398.6	NN
word716	716	1396.65	NN
word717	717	1394.7	NN
word718	718	1392.76	NN
word719	719	1390.82	NN
word720	720	1388.89	NN
word721	721	1386.96	NN
word722	722	1385.04	NN
word723	723	1383.13	NN
word724	724	1381.22	NN
word725	725	1379.31	NN
word726	726	1377.41	NN
word727	727	1375.52	NN
word728	728	1373.63	NN
word729	729	1371.74	NN
word730	730	1369.86	NN
word731	731	1367.99	NN
word732	732	1366.12	NN
word733	733	1364.26	NN
word734	734	1362.4	NN
word735	735	1360.54	NN
word736	736	1358.7	NN
word737	737	1356.85	NN
word738	738	1355.01	NN
word739	739	1353.18	NN
word740	740	1351.35	NN
word741	741	1349.53	NN
word742	742	1347.71	NN
word743	743	1345.9	NN
word744	744	1344.09	NN
word745	745	1342.28	NN
word746	746	1340.48	NN
word747	747	1338.69	NN
word748	748	1336.9	NN
word749	749	1335.11	NN
word750	750	1333.33	NN
word751	751	1331.56	NN
word752	752	1329.79	NN
word753	753	1328.02	NN
word754	754	1326.26	NN
word755	755	1324.5	NN
word756	756	1322.75	NN
word757	757	1321.0	NN
word758	758	1319.26	NN
word759	759	1317.52	NN
word760	760	1315.79	NN
word761	761	1314.06	NN
word762	762	1312.34	NN
word763	763	1310.62	NN
word764	764	1308.9	NN
word765	765	1307.19	NN
word766	766	1305.48	NN
word767	767	1303.78	NN
word768	768	1302.08	NN
word769	769	1300.39	NN
word770	770	1298.7	NN
word771	771	1297.02	NN
word772	772	1295.34	NN
word773	773	1293.66	NN
word774	774	1291.99	NN
word775	775	1290.32	NN
word776	776	1288.66	NN
word777	777	1287.0	NN
word778	778	1285.35	NN
word779	779	1283.7	NN
word780	780	1282.05	NN
word781	781	1280.41	NN
word782	782	1278.77	NN
word783	783	1277.14	NN
word784	784	1275.51	NN
word785	785	1273.89	NN
word786	786	1272.26	NN
word787	787	1270.65	NN
word788	788	1269.04	NN
word789	789	1267.43	NN
word790	790	1265.82	NN
word791	791	1264.22	NN
word792	792	1262.63	NN
word793	793	1261.03	NN
word794	794	1259.45	NN
word795	795	1257.86	NN
word796	796	1256.28	NN
word797	797	1254.71	NN
word798	798	1253.13	NN
word799	799	1251.56	NN
word800	800	1250.0	NN
word801	801	1248.44	NN
word802	802	1246.88	NN
word803	803	1245.33	NN
word804	804	1243.78	NN
word805	805	1242.24	NN
word806	806	1240.69	NN
word807	807	1239.16	NN
word808	808	1237.62	NN
word809	809	1236.09	NN
word810	810	1234.57	NN
word811	811	1233.05	NN
word812	812	1231.53	NN
word813	813	1230.01	NN
word814	814	1228.5	NN
word815	815	1226.99	NN
word816	816	1225.49	NN
word817	817	1223.99	NN
word818	818	1222.49	NN
word819	819	1221.0	NN
word820	820	1219.51	NN
word821	821	1218.03	NN
word822	822	1216.55	NN
word823	823	1215.07	NN
word824	824	1213.59	NN
word825	825	1212.12	NN
word826	826	1210.65	NN
word827	827	1209.19	NN
word828	828	1207.73	NN
word829	829	1206.27	NN
word830	830	1204.82	NN
word831	831	1203.37	NN
word832	832	1201.92	NN
word833	833	1200.48	NN
word834	834	1199.04	NN
word835	835	1197.6	NN
word836	836	1196.17	NN
word837	837	1194.74	NN
word838	838	1193.32	NN
word839	839	1191.9	NN
word840	840	1190.48	NN
word841	841	1189.06	NN
word842	842	1187.65	NN
word843	843	1186.24	NN
word844	844	1184.83	NN
word845	845	1183.43	NN
word846	846	1182.03	NN
word847	847	1180.64	NN
word848	848	1179.25	NN
word849	849	1177.86	NN
word850	850	1176.47	NN
word851	851	1175.09	NN
word852	852	1173.71	NN
word853	853	1172.33	NN
word854	854	1170.96	NN
word855	855	1169.59	NN
word856	856	1168.22	NN
word857	857	1166.86	NN
word858	858	1165.5	NN
word859	859	1164.14	NN
word860	860	1162.79	NN
word861	861	1161.44	NN
word862	862	1160.09	NN
word863	863	1158.75	NN
word864	864	1157.41	NN
word865	865	1156.07	NN
word866	866	1154.73	NN
word867	867	1153.4	NN
word868	868	1152.07	NN
word869	869	1150.75	NN
word870	870	1149.43	NN
word871	871	1148.11	NN
word872	872	1146.79	NN
word873	873	1145.48	NN
word874	874	1144.16	NN
word875	875	1142.86	NN
word876	876	1141.55	NN
word877	877	1140.25	NN
word878	878	1138.95	NN
word879	879	1137.66	NN
word880	880	1136.36	NN
word881	881	1135.07	NN
word882	882	1133.79	NN
word883	883	1132.5	NN
word884	884	1131.22	NN
word885	885	1129.94	NN
word886	886	1128.67	NN
word887	887	1127.4	NN
word888	888	1126.13	NN
word889	889	1124.86	NN
word890	890	1123.6	NN
word891	891	1122.33	NN
word892	892	1121.08	NN
word893	893	1119.82	NN
word894	894	1118.57	NN
word895	895	1117.32	NN
word896	896	1116.07	NN
word897	897	1114.83	NN
word898	898	1113.59	NN
word899	899	1112.35	NN
word900	900	1111.11	NN
word901	901	1109.88	NN
word902	902	1108.65	NN
word903	903	1107.42	NN
word904	904	1106.19	NN
word905	905	1104.97	NN
word906	906	1103.75	NN
word907	907	1102.54	NN
word908	908	1101.32	NN
word909	909	1100.11	NN
word910	910	1098.9	NN
word911	911	1097.69	NN
word912	912	1096.49	NN
word913	913	1095.29	NN
word914	914	1094.09	NN
word915	915	1092.9	NN
word916	916	1091.7	NN
word917	917	1090.51	NN
word918	918	1089.32	NN
word919	919	1088.14	NN
word920	920	1086.96	NN
word921	921	1085.78	NN
word922	922	1084.6	NN
word923	923	1083.42	NN
word924	924	1082.25	NN
word925	925	1081.08	NN
word926	926	1079.91	NN
word927	927	1078.75	NN
word928	928	1077.59	NN
word929	929	1076.43	NN
word930	930	1075.27	NN
word931	931	1074.11	NN
word932	932	1072.96	NN
word933	933	1071.81	NN
word934	934	1070.66	NN
word935	935	1069.52	NN
word936	936	1068.38	NN
word937	937	1067.24	NN
word938	938	1066.1	NN
word939	939	1064.96	NN
word940	940	1063.83	NN
word941	941	1062.7	NN
word942	942	1061.57	NN
word943	943	1060.45	NN
word944	944	1059.32	NN
word945	945	1058.2	NN
word946	946	1057.08	NN
word947	947	1055.97	NN
word948	948	1054.85	NN
word949	949	1053.74	NN
word950	950	1052.63	NN
word951	951	1051.52	NN
word952	952	1050.42	NN
word953	953	1049.32	NN
word954	954	1048.22	NN
word955	955	1047.12	NN
word956	956	1046.03	NN
word957	957	1044.93	NN
word958	958	1043.84	NN
word959	959	1042.75	NN
word960	960	1041.67	NN
word961	961	1040.58	NN
word962	962	1039.5	NN
word963	963	1038.42	NN
word964	964	1037.34	NN
word965	965	1036.27	NN
word966	966	1035.2	NN
word967	967	1034.13	NN
word968	968	1033.06	NN
word969	969	1031.99	NN
word970	970	1030.93	NN
word971	971	1029.87	NN
word972	972	1028.81	NN
word973	973	1027.75	NN
word974	974	1026.69	NN
word975	975	1025.64	NN
word976	976	1024.59	NN
word977	977	1023.54	NN
word978	978	1022.49	NN
word979	979	1021.45	NN
word980	980	1020.41	NN
word981	981	1019.37	NN
word982	982	1018.33	NN
word983	983	1017.29	NN
word984	984	1016.26	NN
word985	985	1015.23	NN
word986	986	1014.2	NN
word987	987	1013.17	NN
word988	988	1012.15	NN
word989	989	1011.12	NN
word990	990	1010.1	NN
word991	991	1009.08	NN
word992	992	1008.06	NN
word993	993	1007.05	NN
word994	994	1006.04	NN
word995	995	1005.03	NN
word996	996	1004.02	NN
word997	997	1003.01	NN
word998	998	1002.0	NN
word999	999	1001.0	NN
word1000	1000	1000.0	NN
word1001	1001	999.0	NN
word1002	1002	998.0	NN
word1003	1003	997.01	NN
word1004	1004	996.02	NN
word1005	1005	995.02	NN
word1006	1006	994.04	NN
word1007	1007	993.05	NN
word1008	1008	992.06	NN
word1009	1009	991.08	NN
word1010	1010	990.1	NN
word1011	1011	989.12	NN
word1012	1012	988.14	NN
word1013	1013	987.17	NN
word1014	1014	986.19	NN
word1015	1015	985.22	NN
word1016	1016	984.25	NN
word1017	1017	983.28	NN
word1018	1018	982.32	NN
word1019	1019	981.35	NN
word1020	1020	980.39	NN
word1021	1021	979.43	NN
word1022	1022	978.47	NN
word1023	1023	977.52	NN
word1024	1024	976.56	NN
word1025	1025	975.61	NN
word1026	1026	974.66	NN
word1027	1027	973.71	NN
word1028	1028	972.76	NN
word1029	1029	971.82	NN
word1030	1030	970.87	NN
word1031	1031	969.93	NN
word1032	1032	968.99	NN
word1033	1033	968.05	NN
word1034	1034	967.12	NN
word1035	1035	966.18	NN
word1036	1036	965.25	NN
word1037	1037	964.32	NN
word1038	1038	963.39	NN
word1039	1039	962.46	NN
word1040	1040	961.54	NN
word1041	1041	960.61	NN
word1042	1042	959.69	NN
word1043	1043	958.77	NN
word1044	1044	957.85	NN
word1045	1045	956.94	NN
word1046	1046	956.02	NN
word1047	1047	955.11	NN
word1048	1048	954.2	NN
word1049	1049	953.29	NN
word1050	1050	952.38	NN
word1051	1051	951.47	NN
word1052	1052	950.57	NN
word1053	1053	949.67	NN
word1054	1054	948.77	NN
word1055	1055	947.87	NN
word1056	1056	946.97	NN
word1057	1057	946.07	NN
word1058	1058	945.18	NN
word1059	1059	944.29	NN
word1060	1060	943.4	NN
word1061	1061	942.51	NN
word1062	1062	941.62	NN
word1063	1063	940.73	NN
word1064	1064	939.85	NN
word1065	1065	938.97	NN
word1066	1066	938.09	NN
word1067	1067	937.21	NN
word1068	1068	936.33	NN
word1069	1069	935.45	NN
word1070	1070	934.58	NN
word1071	1071	933.71	NN
word1072	1072	932.84	NN
word1073	1073	931.97	NN
word1074	1074	931.1	NN
word1075	1075	930.23	NN
word1076	1076	929.37	NN
word1077	1077	928.51	NN
word1078	1078	927.64	NN
word1079	1079	926.78	NN
word1080	1080	925.93	NN
word1081	1081	925.07	NN
word1082	1082	924.21	NN
word1083	1083	923.36	NN
word1084	1084	922.51	NN
